county,FIRE_YEAR,fire_count
Santa Barbara,2007,73
Santa Barbara,2008,59
Santa Barbara,2009,58
Santa Barbara,2010,45
Santa Barbara,2011,47
Santa Barbara,2012,42
Santa Barbara,2013,46
Santa Barbara,2014,32
Santa Barbara,2015,48
Santa Barbara,2016,61
Santa Barbara,2017,84
Santa Barbara,2018,57
Santa Barbara,2019,47
Santa Barbara,2020,90
Santa Clara,1992,77
Santa Clara,1993,92
Santa Clara,1994,87
Santa Clara,1995,55
Santa Clara,1996,64
Santa Clara,1997,72
Santa Clara,1998,42
Santa Clara,1999,72
Santa Clara,2000,56
Santa Clara,2001,118
Santa Clara,2002,70
Santa Clara,2003,73
Santa Clara,2004,61
Santa Clara,2005,66
Santa Clara,2006,73
Santa Clara,2007,135
Santa Clara,2008,155
Santa Clara,2009,118
Santa Clara,2010,131
Santa Clara,2011,103
Santa Clara,2012,58
Santa Clara,2013,90
Santa Clara,2014,47
Santa Clara,2015,89
Santa Clara,2016,162
Santa Clara,2017,151
Santa Clara,2018,158
Santa Clara,2019,122
Santa Clara,2020,208
Santa Cruz,1992,71
Santa Cruz,1993,67
Santa Cruz,1994,60
Santa Cruz,1995,66
Santa Cruz,1996,85
Santa Cruz,1997,87
Santa Cruz,1998,27
Santa Cruz,1999,59
Santa Cruz,2000,59
Santa Cruz,2001,101
Santa Cruz,2002,54
Santa Cruz,2003,40
Santa Cruz,2004,46
Santa Cruz,2005,97
Santa Cruz,2006,106
Santa Cruz,2007,155
Santa Cruz,2008,135
Santa Cruz,2009,94
Santa Cruz,2010,86
Santa Cruz,2011,85
Santa Cruz,2012,71
Santa Cruz,2013,128
Santa Cruz,2014,110
Santa Cruz,2015,74
Santa Cruz,2016,49
Santa Cruz,2017,67
Santa Cruz,2018,76
Santa Cruz,2019,14
Santa Cruz,2020,49
Shasta,1992,392
Shasta,1993,294
Shasta,1994,386
Shasta,1995,256
Shasta,1996,325
Shasta,1997,248
Shasta,1998,261
Shasta,1999,486
Shasta,2000,205
Shasta,2001,289
Shasta,2002,246
Shasta,2003,265
Shasta,2004,282
Shasta,2005,251
Shasta,2006,347
Shasta,2007,396
Shasta,2008,354
Shasta,2009,279
Shasta,2010,198
Shasta,2011,242
Shasta,2012,244
Shasta,2013,321
Shasta,2014,230
Shasta,2015,250
Shasta,2016,156
Shasta,2017,186
Shasta,2018,202
Shasta,2019,137
Shasta,2020,288
Sierra,1992,99
Sierra,1993,33
Sierra,1994,40
Sierra,1995,17
